Product Num,Price,Product Name,Product Type,Size,Use case,Attatchment funfact,Attatchment Copy,Attatchment Instructions
43.png,300,Skin Touch Apricot Scrub,Scrub,6 oz (170 g),"Gently exfoliates to instantly reveal smooth, visibly healthy skin for all skin types.","✨ Apricot scrubs use finely ground apricot kernels to gently exfoliate your skin, instantly revealing a smoother, more radiant complexion—no oils needed!","Reveal your skin’s natural radiance with Skin Touch Apricot Scrub, a gentle yet powerful exfoliator that instantly smooths and refreshes your complexion. This oil-free formula revitalizes all skin types, leaving you with visibly healthier, glowing skin every time you use it. Experience the confidence of a fresh, vibrant look that lasts.","How to Use: Apply the apricot scrub to damp skin and massage gently in circular motions, then rinse off with water.

Frequency: The packaging does not specify, but typically 2-3 times per week is common for facial scrubs.

Precautions: Suitable for all skin types and oil-free. Users with sensitive skin should test on a small area first and avoid contact with eyes. No specific warnings are visible on the front of the packaging."
355.png,430,Smart Collection My Way No. 581,Perfume (Eau de Parfum),15ml (0.5 Fl.oz.),A highly concentrated fragrance for individuals seeking a long-lasting scent.,"✨ Smart Collection Perfume No. 581 is crafted with highly concentrated fragrances sourced from the best locations around the world, turning every spritz into a global scent adventure!","Experience the allure of My Way from the Smart Collection, a luxurious eau de parfum that captivates with its long-lasting, richly concentrated scent. Crafted from the finest global fragrances, this elegant natural spray empowers you to confidently express your unique style and leave a memorable impression wherever life takes you.","How to Use: Apply by spraying onto the skin, typically on pulse points such as the wrists, neck, or behind the ears.

Frequency: Not specified; generally use as needed, but due to high concentration, moderate application is recommended.

Precautions: Avoid spraying into eyes, on broken skin, or near open flames. Discontinue use if irritation occurs."
235.png,350,Clere Jojoba & Sweet Almond Herbal Extract Shampoo,Shampoo,500 ml + 200 ml free.,A vegan formula shampoo designed for colored and damaged hair.,"✨ Jojoba oil in this vegan Clere shampoo is a haircare hero—it closely mimics your scalp’s natural oils, making it perfect for nourishing colored and damaged hair without leaving it heavy or greasy!","Revitalize your colored and damaged hair with Clere's Jojoba & Sweet Almond Herbal Extract Shampoo, designed to deeply nourish and restore your hair’s natural shine. This gentle, vegan formula leaves your locks soft, vibrant, and beautifully healthy after every wash—plus, enjoy 200 ml free for long-lasting care and value. Transform your hair care routine and reveal radiant, revitalized hair you’ll love to show off.","How to Use: Apply to wet hair, lather, and rinse thoroughly.

Frequency: Not specified; generally, shampoo can be used as needed, often daily or a few times per week depending on hair type and personal preference.

Precautions: No specific warnings or precautions are visible on the product label. Follow any additional instructions on the product packaging."
125.png,200,AMARA Natural Glow For Men,Moisturizing Hand and Body Lotion,400ML,Provides extra moisturizing benefits for men with a blend of natural essential oils.,✨ This lotion harnesses the power of natural essential oils to deliver a burst of hydration—so you can treat your skin to nature’s best every day!,"Experience the ultimate hydration with AMARA Natural Glow for Men, a luxurious hand and body lotion that deeply nourishes your skin for a lasting, healthy glow. Infused with natural essential oils, it keeps your skin soft, smooth, and revitalized all day, boosting your confidence and rugged charm effortlessly. Elevate your daily routine and reveal your best, most natural self.","How to Use: Apply by dispensing a small amount onto the hands and massaging it into the skin until fully absorbed.

Frequency: Use daily or as needed.

Precautions: Avoid contact with eyes and discontinue use if irritation occurs."
320.png,260,DR. RASHEL Aloe Vera Anti-Acne Pimple Cream,Cream,10g.,"A cream designed to treat acne, reduce pimples, repair acne scars, and promote smooth, soft skin for individuals with acne-prone skin.","✨ Did you know? Aloe vera, the star ingredient in Dr. Rashel Anti-Acne Pimple Cream, has been cherished for centuries for its natural power to soothe inflamed skin and help repair acne scars!","Discover the healing touch of Dr. Rashel Aloe Vera Anti-Acne Pimple Cream, your skin’s natural ally in fading acne scars and soothing inflammation. This gentle yet powerful formula revitalizes your skin by promoting cell regeneration, leaving you with a smoother, softer, and visibly clearer complexion that radiates confidence every day.","How to Use: The image and extracted text do not provide specific application instructions for the product.

Frequency: The frequency of use is not mentioned in the visible text.

Precautions: The visible packaging does not list any specific warnings or precautions."
206.png,160,Bamsi Hair Food,Hair conditioner/moisturizer,Not specified.,"A conditioning and moisturizing hair product with olive oil, avocado, and vitamin aid, suitable for individuals seeking nourishment for their hair.","✨ Bamsi Hair Food is packed with olive oil and avocado—two natural ingredients that have been treasured for centuries for their deep conditioning and moisturizing powers, giving your hair a nourishing treat straight from nature!","Nourish your hair with Bamsi Hair Food, a deeply conditioning treatment infused with the natural richness of olive oil, avocado, and vitamin A. This powerful formula restores moisture, transforming dry, brittle strands into soft, shiny, and effortlessly manageable locks you'll love to show off every day. Experience vibrant, healthy hair that feels as good as it looks.","How to Use: Massage a small amount into the scalp and hair, focusing on dry or damaged areas.

Frequency: Not specified; generally can be used daily or as needed depending on hair condition.

Precautions: Avoid contact with eyes and discontinue use if irritation occurs."
73.png,1200,Cantu Shea Butter Leave-In Conditioning Cream,Leave-in conditioner,12 oz (340 g),"Softens and helps repair hair breakage for natural curls, coils, and waves.","✨ Did you know? Cantu Leave-In Conditioning Cream is enriched with shea butter, a treasured ingredient in African beauty rituals for centuries, renowned for its deep moisturizing and hair-repairing powers—making it a must-have for natural curls, coils, and waves!","Discover the magic of Cantu Shea Butter Leave-In Conditioning Cream, your go-to solution for deeply nourished, soft, and resilient curls, coils, and waves. This rich, non-drying formula not only reduces breakage and repairs damage but also leaves your hair irresistibly smooth and manageable—free from alcohol and silicones. Embrace your hair’s natural beauty and strength with every use!","How to Use: Apply to clean, damp hair and distribute evenly, focusing on the ends and areas prone to dryness or breakage.

Frequency: Use after washing hair or as needed to maintain moisture and manageability.

Precautions: Contains no drying alcohol or silicones. No specific warnings or precautions are visible."
301.png,200,SADOER Skin Active 5x Vitamin C Eye Cream,Eye cream,20g/0.7oz.,Reduce dark circles,✨ This eye cream harnesses the brightening power of 5x active Vitamin C and niacinamide—a dynamic duo that not only targets dark circles but also helps firm and refresh the delicate under-eye area for a truly radiant look!,"Revitalize tired eyes with Sadoer Heavy Vitamin C Eye Cream, expertly formulated to brighten dark circles and firm delicate skin for a youthful, radiant glow. Infused with 5x Vitamin C and Niacinamide, this powerful cream deeply nourishes and smooths, leaving your eyes looking refreshed and confidently luminous every day.","How to Use: The image and extracted text do not provide specific application instructions for this product.

Frequency: The image and extracted text do not specify how often to use the product.

Precautions: The image and extracted text do not mention any warnings or precautions."
373.png,180,LORENZO RIVE,Eau de Toilette (fragrance),35ml / 1.17 FL.OZ.,"A fragrance product designed for individuals seeking a light, refreshing scent.",Insufficient information available.,"Experience the captivating allure of Lorenzo Rive Eau de Toilette, a sophisticated fragrance that boosts your confidence and leaves a memorable impression wherever you go. Its refreshing, elegant scent elevates your presence, making every moment unforgettable with a subtle yet powerful signature aroma. Perfect for those who want to stand out effortlessly and embrace timeless elegance.","How to Use: Apply by spraying onto pulse points such as the wrists, neck, and behind the ears.

Frequency: Use as needed, typically once or twice daily.

Precautions: Avoid contact with eyes, do not apply to broken or irritated skin, and keep out of reach of children."
275.png,450,Fruit of the Wokali Golden Snail Snail Facial Serum,Serum,Not specified.,"A multifunction facial serum designed to reduce deep wrinkles, imperfections, and pore visibility, restore the epidermis, even out skin tone, and intensely moisturize, suitable for those seeking anti-aging and skin-smoothing benefits.","✨ Snail mucin, the hero ingredient in this Golden Snail Facial Serum, is a beloved staple in Korean beauty routines thanks to its remarkable ability to smooth, deeply hydrate, and visibly rejuvenate skin—making it a powerhouse for tackling deep wrinkles and imperfections!","Discover the rejuvenating magic of Golden Snail Snail Facial Serum, your ultimate solution for visibly reducing deep wrinkles and imperfections. This powerful serum smooths skin texture, minimizes pores, and evens out tone while delivering intense hydration, leaving your complexion radiant, youthful, and beautifully restored. Unlock the secret to smoother, healthier skin with every drop.","How to Use: Apply a few drops of the serum to clean, dry skin and gently massage until absorbed.

Frequency: The packaging does not specify, but facial serums are generally used once or twice daily (morning and/or evening).

Precautions: No explicit warnings are visible. It is advisable to do a patch test before full use and avoid contact with eyes."
127.png,200,AMARA Natural Glow Baobab Delight,Deep Hydrating Hand & Body Lotion,200ml,"A lotion infused with Baobab Oil designed to deeply hydrate and even skin tone, suitable for those seeking moisturized and radiant skin.","✨ Baobab oil, the star ingredient in AMARA Baobab Delight lotion, is harvested from Africa's legendary ""Tree of Life"" and is celebrated for its power to deeply hydrate and even out skin tone, giving your skin a naturally radiant glow!","Experience the ultimate in skin nourishment with Amara Natural Glow Baobab Delight, a deeply moisturizing hand and body lotion that transforms dry, dull skin into a soft, radiant glow. Infused with the powerful essence of Baobab Oil, it not only hydrates but also evens out your skin tone, leaving you beautifully balanced and glowing all day long. Indulge your skin with lasting luxury and reveal your natural brilliance.","How to Use: Dispense a small amount into the hands and massage onto clean, dry skin of the hands and body until fully absorbed.

Frequency: Use daily or as needed for hydration.

Precautions: Avoid contact with eyes and do not apply to broken or irritated skin. Discontinue use if irritation occurs."
273.png,350,Kiss Beauty Snail 100% Perfect Foundation,Foundation,40 ml.,"A moisturizing foundation enriched with snail extract, designed for restoring, soothing, and nourishing the skin, suitable for those seeking invisible and nude makeup.","✨ Kiss Beauty's foundation is powered by 100% snail extract, a superstar K-beauty ingredient celebrated for its skin-restoring, soothing, and nourishing properties—perfect for achieving that coveted dewy glow!","Discover the magic of Kiss Beauty Snail 100% foundation, a lightweight formula that effortlessly smooths fine lines and evens your skin tone for a flawless, natural finish. Infused with powerful moisturizing ingredients, it nourishes and soothes your skin, leaving you radiant and healthy all day long. Experience beauty that feels as good as it looks.","How to Use: Apply evenly to clean skin, typically after basic skincare and before other makeup.

Frequency: Generally used once daily as part of a makeup routine.

Precautions: No explicit warnings or precautions are visible on the packaging. Check the full packaging or insert for additional instructions or warnings before use."
345.png,160,K.Brothers Rice Milk Collagen,Soap,Not specified.,"A moisturizing soap with rice milk and collagen, suitable for cleansing and nourishing the skin.","✨ Did you know? K.Brothers Rice Milk Collagen Soap blends nourishing rice milk—an ancient Asian beauty secret—with collagen to leave your skin feeling soft, hydrated, and radiant!","Discover the nourishing power of K.Brothers Rice Milk Collagen Soap, your secret to deeply hydrated, radiant skin. This luxurious soap rejuvenates and restores your youthful glow, leaving your skin irresistibly soft, smooth, and glowing every day. Elevate your skincare routine with a gentle cleanse that pampers and protects your natural beauty.","How to Use: Lather the soap with water, apply to the skin, and rinse off thoroughly.

Frequency: Can be used daily as part of your regular cleansing routine.

Precautions: No visible warnings on the packaging. It is advisable to do a patch test before full use, avoid contact with eyes, and discontinue use if irritation occurs. For exact instructions and warnings, refer to the product's leaflet or official website if available."
215.png,360,MIADI Hair Food Pomade,Hair pomade,200g,"Nourishes and conditions hair, suitable for individuals seeking hair care without BHT and silicones.","✨ Did you know? MIADI Hair Food Pomade is specially formulated without BHT and silicones, making it a gentler choice for those seeking healthier, more natural hair care!","Discover the nourishing power of MIADI Hair Food Pomade, expertly crafted to deeply hydrate and strengthen your hair while enhancing its natural shine. This lightweight, silicone- and BHT-free formula leaves your hair soft, healthy, and effortlessly manageable, giving you a beautifully styled look that lasts all day. Elevate your hair care routine with a product that truly cares for your hair’s health and beauty.","How to Use: The image does not provide specific application instructions for the MIADI Hair Food Pomade. Generally, hair pomades are applied by taking a small amount and massaging it into the scalp and hair, but refer to the product packaging or insert for exact directions.

Frequency: The frequency of use is not specified on the visible part of the packaging.

Precautions: The packaging states the product contains ""NO BHT & SILICONES,"" but does not display any specific warnings or precautions. Always check the full product label for additional instructions or warnings before use."
177.png,980,Nice & Lovely Baby Naturals,Soothing jelly-in-cream,Not specified,Moisturizes,"✨ This jelly-in-cream is so gentle, it's not only hypoallergenic but also safe for babies with eczema-prone skin—making it a soothing superstar for even the most sensitive little ones!","Experience the gentle power of Nice & Lovely Baby Naturals Soothing Jelly-in-Cream, crafted to deeply nourish and protect your baby’s sensitive skin. This hypoallergenic formula provides lasting moisture while soothing irritation and eczema, giving your little one the comfort and care they deserve every day. Embrace peace of mind with a product designed to nurture delicate skin with love and effectiveness.","How to Use: Gently massage a small amount onto clean, dry skin, focusing on areas that need moisture or repair.

Frequency: Use as needed, typically 1-2 times daily or after bathing.

Precautions: Hypoallergenic and suitable for eczema-prone skin. Avoid contact with eyes and discontinue use if irritation occurs."
321.png,400,LESIGNA PROF Q.B. MILLIONS SKIN CARD DIANA Young Skin VITAMIN C +AHA,Facial Serum,100ml / 4 FL.OZ.,whitening,"✨ This serum is crafted with 98.2% natural ingredients and uses a cold-processed method, which helps keep the Vitamin C and AHAs super potent for brighter, younger-looking skin!","Reveal radiant, youthful skin with the Young Skin Vitamin C + AHA Facial Serum, designed to brighten your complexion and diminish signs of aging. This potent blend of Vitamin C, Vitamin E, and Alpha Hydroxy Acid works deeply to fight oxidative stress, leaving your skin smoother, firmer, and glowing with natural vitality. Experience the power of 98.2% natural ingredients for a revitalized, luminous look you'll love.","How to Use: The image and extracted text do not provide specific application instructions for this facial serum.

Frequency: The frequency of use is not mentioned in the visible product information.

Precautions: There are no explicit warnings or precautions listed on the visible part of the packaging.

Note: For detailed instructions and precautions, refer to the product insert or the back of the packaging, as this information is not visible in the provided image."
99.png,250,Honey & Butter Cocoa Butter Body Lotion,Body lotion,420 ml.,Moisturizes and helps the skin look younger,"✨ Cocoa butter, the hero in this body lotion, has been a cherished beauty secret in tropical regions for centuries thanks to its incredible ability to deeply moisturize and help skin look younger!","Experience the ultimate skin indulgence with our Honey & Butter Cocoa Butter Body Lotion, crafted to deeply nourish and rejuvenate for a radiant, youthful glow. Its 48-hour moisture technology ensures your skin stays irresistibly soft, smooth, and hydrated all day, making it the perfect treat for every skin type. Unlock lasting hydration and reveal your skin’s natural beauty with every use.","How to Use: Dispense a small amount into the hands and massage onto clean, dry skin until fully absorbed.

Frequency: Provides moisture for up to 48 hours; can likely be used daily or as needed. No specific frequency instructions are visible.

Precautions: No specific warnings or precautions are visible. Suitable for all skin types, but check for any allergic reactions when using a new product."
41.png,300,Skin Touch Apricot Scrub (Swiss Formula),Scrub,6 oz (170 g),"Gently exfoliates to instantly reveal smooth, visibly healthy skin for all skin types.","✨ Did you know? This apricot scrub uses natural apricot kernels to gently exfoliate your skin, instantly revealing a smoother, healthier-looking complexion—no oils needed!","Reveal your skin’s natural glow with Skin Touch Apricot Scrub, a gentle yet powerful exfoliator that refreshes and revitalizes every complexion. This oil-free formula effortlessly sweeps away dead skin cells, leaving your skin smoother, healthier, and radiant after every use. Experience the confidence of beautifully renewed skin that feels as good as it looks.","How to Use: Apply by massaging onto damp skin in a circular motion, then rinse off with water.

Frequency: 2-3 times per week is typical for facial scrubs, but follow any additional instructions on the packaging or consult a dermatologist.

Precautions: Suitable for all skin types and oil-free. Avoid contact with eyes and do not use on broken or irritated skin."
326.png,380,BIOAQUA Rice Raw Pulp,Cleanser,100g,Deep-cleansing skin,"✨ Rice extract, the star ingredient in BIOAQUA Rice Raw Pulp Cleanser, has been a beloved beauty secret in Asian skincare for centuries, prized for its gentle cleansing and natural brightening powers!","Discover the gentle yet powerful cleansing experience of BIOAQUA Rice Raw Pulp Cleanser, designed to deeply purify and nourish your skin with soothing rice extract. This mild formula refreshes and repairs, leaving your complexion radiant, hydrated, and beautifully glowing—perfect for your daily skincare ritual.","How to Use: The image and extracted text do not provide specific application instructions for this product.

Frequency: The frequency of use is not specified on the visible packaging.

Precautions: No specific warnings or precautions are visible on the provided packaging."
110.png,300,Nice & Lovely 48H Nourishing Body Lotion,Body lotion,Not specified.,"A nourishing body lotion with repairing cocoa butter and shea butter, designed to visibly reduce stretch marks for those seeking moisturized and healthy skin.",✨ This nourishing body lotion blends cocoa butter and shea butter—two legendary ingredients cherished in African beauty rituals for centuries—to help visibly reduce stretch marks while keeping your skin soft for a full 48 hours!,"Experience the ultimate skin transformation with Nice & Lovely Body Lotion, delivering deep 48-hour nourishment that visibly reduces stretch marks. Enriched with repairing cocoa and shea butters, this lightweight, non-greasy formula leaves your skin irresistibly soft, smooth, and beautifully revitalized all day long. Reveal your skin’s natural glow and confidence with every use.","How to Use: Dispense a small amount into the hands and massage onto clean, dry skin until fully absorbed.

Frequency: Use once every 1-2 days, or as needed.

Precautions: Avoid contact with eyes and do not apply to broken or irritated skin."
188.png,160,Sultana Oil with Coconut Oil,Oil,150ml,"Nourishing oil suitable for hair and/or skin care, ideal for those seeking the benefits of coconut oil.","✨ Coconut oil, like the one in Sultana Oil, has been a cherished beauty secret in tropical regions for centuries, loved for its power to deeply nourish hair and skin, leaving them irresistibly soft, shiny, and hydrated!","Experience the ultimate hydration with Sultana Coconut Oil, designed to deeply nourish and revitalize your skin and hair. Its extra pure formula locks in natural moisture, leaving you with a radiant glow and a refreshed, beautifully cared-for look every day. Indulge in the power of nature and feel the difference from the very first use.","How to Use: The image and extracted text do not provide specific application instructions for this product. Typically, coconut oil is applied directly to the hair or skin as needed.

Frequency: The frequency of use is not specified on the visible packaging. Generally, coconut oil can be used daily or as often as desired, depending on personal needs.

Precautions: No warnings or precautions are visible on the packaging in the provided image. As with any oil product, avoid contact with eyes and discontinue use if irritation occurs. For detailed instructions and safety information, refer to the full product label or insert, if available."
197.png,2600,Cetaphil Moisturising Cream,Moisturiser,Not specified.,"Provides intense moisture for very dry, sensitive skin and is dermatologically tested for sensitive skin.","✨ Did you know? Cetaphil Moisturising Cream is dermatologically tested for sensitive skin and provides up to 48 hours of hydration, making it a cult favorite for those with extra dry, delicate skin!","Experience the ultimate relief for very dry, sensitive skin with Cetaphil Moisturising Cream. This dermatologist-tested formula provides deep, long-lasting hydration for up to 48 hours, leaving your skin irresistibly soft, smooth, and comforted all day. Say goodbye to dryness and hello to a soothing, radiant glow you can feel.","How to Use: Apply by gently massaging onto clean, dry skin as needed.

Frequency: Use daily or as often as needed.

Precautions: Suitable for sensitive skin; no specific warnings or precautions are visible."
17.png,600,Sublime Shower Gel Sweet Vanilla,Shower gel,Not specified.,"A cleansing shower gel with a sweet vanilla scent, suitable for anyone looking for a fragrant and refreshing body wash.","✨ Did you know? Vanilla, the star ingredient in Sublime Shower Gel, not only fills your shower with a sweet, comforting scent but also boasts antioxidant properties that help soothe and soften your skin—turning every wash into a mini spa moment!","Indulge your skin in the luxurious warmth of Sublime Sweet Vanilla Shower Gel, where gentle cleansing meets deep nourishment. Infused with vitamins E and B5, it revitalizes and softens your skin, leaving you wrapped in a comforting, irresistible vanilla scent that transforms every shower into a soothing escape. Elevate your daily routine with this beautifully moisturizing treat your skin will love.","How to Use: Dispense a small amount onto a wet sponge or directly onto the skin, lather, and rinse off thoroughly with water.
Frequency: Use daily during your shower or bath as needed.
Precautions: No visible warnings on the label; avoid contact with eyes and discontinue use if irritation occurs. For exact instructions and warnings, refer to the product's packaging or insert."
123.png,200,AMARA Natural Glow Body Milk,Moisturizing Hand & Body Lotion,400ML,"Provides extra moisturization for hands and body with a blend of coconut milk, oat milk, and canola oil","✨ This body milk blends coconut milk, oat milk, and canola oil for a powerhouse combo that not only deeply hydrates but also soothes and nourishes your skin—all day long!","Indulge your skin with AMARA Natural Glow Body Milk, a luxurious blend that deeply hydrates and nourishes for a radiant, silky-smooth finish. Enriched with Coconut Milk, Oat Milk, and Canola Oil, this lotion transforms dry skin into a glowing, healthy canvas you’ll love to show off every day. Experience lasting softness and natural luminosity with every application.","How to Use: Dispense a small amount onto the hands and massage into the skin until fully absorbed.

Frequency: Use daily or as needed for dry skin.

Precautions: Avoid contact with eyes and do not use on broken or irritated skin unless otherwise directed."
167.png,250,Cussons Baby Powder,Powder,Not specified.,A long-lasting vanilla-scented powder that helps babies feel relaxed.,"✨ The long-lasting vanilla scent in Cussons Baby Powder is specially crafted to help babies feel relaxed, harnessing vanilla’s calming and soothing properties often celebrated in aromatherapy!","Discover the gentle care of Cussons Baby Powder, infused with a soothing vanilla scent that keeps your baby feeling fresh and calm all day long. Its delicate formula not only comforts but also creates peaceful, joyful moments, making it the perfect choice for your little one’s daily care. Embrace the lasting freshness and tender relaxation that every parent and baby will love.","How to Use: Apply to clean, dry skin, especially after bathing or diaper changes. Refer to the product packaging for exact instructions.

Frequency: Use as needed, such as after baths or diaper changes.

Precautions: Avoid contact with the baby's face to prevent inhalation. Keep out of reach of children."
